"Time","Value (ppm)"
"2024/07/22 13:15:00.000","248.717"
"2024/07/22 13:00:00.200","158.974"
"2024/07/22 12:45:00.000","358.974"
"2024/07/22 12:30:00.200","268.742"
"2024/07/22 12:15:00.100","257.020"
"2024/07/22 12:00:00.100","271.672"
"2024/07/22 11:45:00.100","539.926"
"2024/07/22 11:30:00.000","556.043"
"2024/07/22 11:15:00.200","562.881"
"2024/07/22 11:00:00.100","559.951"
"2024/07/22 10:45:00.000","544.810"
"2024/07/22 10:30:00.100","447.741"
"2024/07/22 10:15:00.000","443.833"
"2024/07/22 10:00:00.100","425.763"
"2024/07/22 09:45:00.100","418.925"
"2024/07/22 09:30:00.000","411.599"
"2024/07/22 09:15:00.100","603.785"
"2024/07/22 09:00:00.000","596.947"
"2024/07/22 08:45:00.100","584.737"
