"Time","Value (°C)"
"2024/07/22 15:45:00.000","24.68"
"2024/07/22 15:30:00.100","24.6323"
"2024/07/22 15:15:00.100","24.6233"
"2024/07/22 15:00:00.000","24.6098"
"2024/07/22 14:45:00.200","24.002"
"2024/07/22 14:30:00.100","24.98"
"2024/07/22 14:15:00.200","25.50"
"2024/07/22 14:00:00.200","25.5"
"2024/07/22 13:45:00.000","25.7"
"2024/07/22 13:30:00.100","25.7382"
"2024/07/22 13:15:00.000","25.4"
"2024/07/22 13:00:00.100","25.374"
"2024/07/22 12:45:00.100","25.8"
"2024/07/22 12:30:00.200","25.5"
"2024/07/22 12:15:00.100","25.22"
"2024/07/22 12:00:00.100","26.9"
"2024/07/22 11:45:00.000","26.5"
"2024/07/22 11:30:00.000","26.6"
"2024/07/22 11:15:00.100","26.8"
"2024/07/22 11:00:00.200","26.23"
"2024/07/22 10:45:00.200","26.3"
"2024/07/22 10:30:00.100","26.47"
"2024/07/22 10:15:00.100","25.41"
