"Time","Value (°C)"
"2024/07/22 15:45:00.000","18.68"
"2024/07/22 15:30:00.100","18.6323"
"2024/07/22 15:15:00.100","19.6233"
"2024/07/22 15:00:00.000","18.6098"
"2024/07/22 14:45:00.200","18.002"
"2024/07/22 14:30:00.100","19.98"
"2024/07/22 14:15:00.200","19.50"
"2024/07/22 14:00:00.200","19.5"
"2024/07/22 13:45:00.000","18.7"
"2024/07/22 13:30:00.100","18.7382"
"2024/07/22 13:15:00.000","18.4"
"2024/07/22 13:00:00.100","18.374"
"2024/07/22 12:45:00.100","18.8"
"2024/07/22 12:30:00.200","18.5"
"2024/07/22 12:15:00.100","19.22"
"2024/07/22 12:00:00.100","19.9"
"2024/07/22 11:45:00.000","19.5"
"2024/07/22 11:30:00.000","19.6"
"2024/07/22 11:15:00.100","19.8"
"2024/07/22 11:00:00.200","19.23"
"2024/07/22 10:45:00.200","20.3"
"2024/07/22 10:30:00.100","20.47"
"2024/07/22 10:15:00.100","20.41"
