"Time","Value (°C)"
"2024/07/22 15:45:00.000","13.6"
"2024/07/22 15:30:00.100","12.689"
"2024/07/22 15:15:00.100","13.95"
"2024/07/22 15:00:00.000","15.6"
"2024/07/22 14:45:00.200","15.7"
"2024/07/22 14:30:00.100","16.7"
"2024/07/22 14:15:00.200","15.5"
"2024/07/22 14:00:00.200","15.5"
"2024/07/22 13:45:00.000","15.7"
"2024/07/22 13:30:00.100","15.7"
"2024/07/22 13:15:00.000","15.4"
"2024/07/22 13:00:00.100","16.4"
"2024/07/22 12:45:00.100","16.8"
"2024/07/22 12:30:00.200","16.5"
"2024/07/22 12:15:00.100","16.22"
"2024/07/22 12:00:00.100","17.9"
"2024/07/22 11:45:00.000","19.5"
"2024/07/22 11:30:00.000","16.6"
"2024/07/22 11:15:00.100","15.8"
"2024/07/22 11:00:00.200","15.23"
"2024/07/22 10:45:00.200","17.3"
"2024/07/22 10:30:00.100","16.47"
"2024/07/22 10:15:00.100","17.41"
