"Time","Value (°C)"
"2024/07/22 15:45:00.000","23.44"
"2024/07/22 15:30:00.100","23.6"
"2024/07/22 15:15:00.100","23.6"
"2024/07/22 15:00:00.000","23.6"
"2024/07/22 14:45:00.200","23.7"
"2024/07/22 14:30:00.100","21.7"
"2024/07/22 14:15:00.200","21.5"
"2024/07/22 14:00:00.200","21.576"
"2024/07/22 13:45:00.000","21.702"
"2024/07/22 13:30:00.100","21.70"
"2024/07/22 13:15:00.000","21.4"
"2024/07/22 13:00:00.100","21.4"
"2024/07/22 12:45:00.100","19.8"
"2024/07/22 12:30:00.200","19.5"
"2024/07/22 12:15:00.100","19.22"
"2024/07/22 12:00:00.100","19.9"
"2024/07/22 11:45:00.000","19.5"
"2024/07/22 11:30:00.000","19.6"
"2024/07/22 11:15:00.100","19.8"
"2024/07/22 11:00:00.200","19.23"
"2024/07/22 10:45:00.200","19.3"
"2024/07/22 10:30:00.100","19.47"
"2024/07/22 10:15:00.100","19.41"
